_time,Building,Clients
,,
2021-09-01T00:00:00.000-0500,1 Nicholas,4
,,
2021-09-01T00:00:00.000-0500,1 Stewart,9
,,
2021-09-01T00:00:00.000-0500,100 Laurier,10
,,
2021-09-01T00:00:00.000-0500,180 Waller,4
,,
2021-09-01T00:00:00.000-0500,200 Wilbrod,0
,,
2021-09-01T00:00:00.000-0500,316 Rideau,4
,,
2021-09-01T00:00:00.000-0500,535 Legget,8
,,
2021-09-01T00:00:00.000-0500,600 Peter Morand,7
,,
2021-09-01T00:00:00.000-0500,850 Peter Morand,11
,,
2021-09-01T00:00:00.000-0500,ARC,134
,,
2021-09-01T00:00:00.000-0500,Academic Hall,23
,,
2021-09-01T00:00:00.000-0500,AlumniHouse,9
,,
2021-09-01T00:00:00.000-0500,Arts,39
,,
2021-09-01T00:00:00.000-0500,Brooks,18
,,
2021-09-01T00:00:00.000-0500,CAREG,80
,,
2021-09-01T00:00:00.000-0500,CBY,165
,,
2021-09-01T00:00:00.000-0500,CRX,136
,,
2021-09-01T00:00:00.000-0500,Copernicus,12
,,
2021-09-01T00:00:00.000-0500,DMS,113
,,
2021-09-01T00:00:00.000-0500,Diorio,123
,,
2021-09-01T00:00:00.000-0500,EMBA,5
,,
2021-09-01T00:00:00.000-0500,FSS,130
,,
2021-09-01T00:00:00.000-0500,Fauteux,72
,,
2021-09-01T00:00:00.000-0500,Gendron,1
,,
2021-09-01T00:00:00.000-0500,GradHouse,5
,,
2021-09-01T00:00:00.000-0500,Hagen,23
,,
2021-09-01T00:00:00.000-0500,Henderson,1
,,
2021-09-01T00:00:00.000-0500,KED,13
,,
2021-09-01T00:00:00.000-0500,LEES BLOCK A,56
,,
2021-09-01T00:00:00.000-0500,LEES BLOCK B,32
,,
2021-09-01T00:00:00.000-0500,LEES BLOCK C,41
,,
2021-09-01T00:00:00.000-0500,LEES BLOCK D,0
,,
2021-09-01T00:00:00.000-0500,LEES BLOCK E,68
,,
2021-09-01T00:00:00.000-0500,LMX,40
,,
2021-09-01T00:00:00.000-0500,LPR,95
,,
2021-09-01T00:00:00.000-0500,Leblanc,0
,,
2021-09-01T00:00:00.000-0500,MCU,31
,,
2021-09-01T00:00:00.000-0500,Marchand,5
,,
2021-09-01T00:00:00.000-0500,Marion,109
,,
2021-09-01T00:00:00.000-0500,MontPetit,99
,,
2021-09-01T00:00:00.000-0500,Morisset,74
,,
2021-09-01T00:00:00.000-0500,Morriset,2
,,
2021-09-01T00:00:00.000-0500,Perez,16
,,
2021-09-01T00:00:00.000-0500,Polytek,2
,,
2021-09-01T00:00:00.000-0500,RGN,783
,,
2021-09-01T00:00:00.000-0500,SITE,69
,,
2021-09-01T00:00:00.000-0500,SPX,130
,,
2021-09-01T00:00:00.000-0500,STEM,169
,,
2021-09-01T00:00:00.000-0500,Sacre Coeur,6
,,
2021-09-01T00:00:00.000-0500,Seraphin Marion,15
,,
2021-09-01T00:00:00.000-0500,Simard,43
,,
2021-09-01T00:00:00.000-0500,Stewart,3
,,
2021-09-01T00:00:00.000-0500,Tabaret,194
,,
2021-09-01T00:00:00.000-0500,Thompson,12
,,
2021-09-01T00:00:00.000-0500,UniCenter,182
,,
2021-09-01T00:00:00.000-0500,Vanier,77
,,
2021-09-01T00:00:00.000-0500,bioScience,134
,,
2021-09-02T00:00:00.000-0500,1 Nicholas,2
,,
2021-09-02T00:00:00.000-0500,1 Stewart,9
,,
2021-09-02T00:00:00.000-0500,100 Laurier,12
,,
2021-09-02T00:00:00.000-0500,180 Waller,6
,,
2021-09-02T00:00:00.000-0500,200 Wilbrod,0
,,
2021-09-02T00:00:00.000-0500,316 Rideau,8
,,
2021-09-02T00:00:00.000-0500,535 Legget,6
,,
2021-09-02T00:00:00.000-0500,600 Peter Morand,27
,,
2021-09-02T00:00:00.000-0500,850 Peter Morand,13
,,
2021-09-02T00:00:00.000-0500,ARC,139
,,
