Building,"_time",Clients
RGN,"2021-11-16T00:00:00.000-0500",2262
RGN,"2021-11-30T00:00:00.000-0500",2138
CRX,"2021-11-30T00:00:00.000-0500",1702
RGN,"2021-12-15T00:00:00.000-0500",1684
RGN,"2021-12-01T00:00:00.000-0500",1660
CRX,"2021-11-16T00:00:00.000-0500",1518
RGN,"2022-01-24T00:00:00.000-0500",1488
RGN,"2021-11-25T00:00:00.000-0500",1347
Morisset,"2021-11-16T00:00:00.000-0500",1330
CRX,"2021-12-01T00:00:00.000-0500",1313
RGN,"2021-11-23T00:00:00.000-0500",1280
Morisset,"2021-11-30T00:00:00.000-0500",1277
RGN,"2021-11-18T00:00:00.000-0500",1268
RGN,"2022-02-08T00:00:00.000-0500",1254
RGN,"2021-12-02T00:00:00.000-0500",1153
RGN,"2021-12-03T00:00:00.000-0500",1074
RGN,"2021-11-24T00:00:00.000-0500",1039
FSS,"2021-11-30T00:00:00.000-0500",1037
CRX,"2022-02-08T00:00:00.000-0500",1033
RGN,"2021-12-07T00:00:00.000-0500",1002
RGN,"2022-02-03T00:00:00.000-0500",985
RGN,"2022-02-10T00:00:00.000-0500",964
RGN,"2021-11-17T00:00:00.000-0500",960
RGN,"2021-11-22T00:00:00.000-0500",955
RGN,"2022-02-02T00:00:00.000-0500",947
FSS,"2021-11-16T00:00:00.000-0500",937
CRX,"2021-12-07T00:00:00.000-0500",925
RGN,"2022-02-09T00:00:00.000-0500",922
RGN,"2021-12-08T00:00:00.000-0500",918
RGN,"2022-02-01T00:00:00.000-0500",911
CRX,"2021-12-15T00:00:00.000-0500",899
RGN,"2021-11-29T00:00:00.000-0500",885
UniCenter,"2021-11-30T00:00:00.000-0500",867
RGN,"2021-12-09T00:00:00.000-0500",866
RGN,"2021-12-14T00:00:00.000-0500",866
CRX,"2022-02-09T00:00:00.000-0500",859
RGN,"2021-12-13T00:00:00.000-0500",852
STEM,"2021-11-16T00:00:00.000-0500",852
RGN,"2021-11-26T00:00:00.000-0500",848
CRX,"2022-02-02T00:00:00.000-0500",847
RGN,"2021-11-19T00:00:00.000-0500",847
CRX,"2021-12-08T00:00:00.000-0500",843
CRX,"2022-02-04T00:00:00.000-0500",842
CRX,"2021-12-16T00:00:00.000-0500",841
UniCenter,"2021-11-16T00:00:00.000-0500",838
