_time,Building,Clients
Wed Apr  6 00:00:00 2022,RGN,1256
Thu Apr  7 00:00:00 2022,RGN,998
Tue Apr  5 00:00:00 2022,RGN,931
Tue Apr  5 00:00:00 2022,CRX,857
Wed Apr  6 00:00:00 2022,CRX,750
Fri Apr  8 00:00:00 2022,CRX,743
Fri Apr  8 00:00:00 2022,RGN,705
Mon Apr 11 00:00:00 2022,CRX,685
Wed Apr  6 00:00:00 2022,FSS,637
Mon Apr  4 00:00:00 2022,CRX,626
Thu Apr  7 00:00:00 2022,UniCenter,626
Tue Apr  5 00:00:00 2022,Morisset,623
Wed Apr  6 00:00:00 2022,Morisset,620
Mon Apr 11 00:00:00 2022,Morisset,600
Wed Apr  6 00:00:00 2022,UniCenter,591
Thu Apr  7 00:00:00 2022,CRX,574
Tue Apr  5 00:00:00 2022,UniCenter,574
Thu Apr  7 00:00:00 2022,Morisset,538
Tue Apr  5 00:00:00 2022,FSS,536
Wed Apr  6 00:00:00 2022,SITE,533
Fri Apr  8 00:00:00 2022,UniCenter,521
Wed Apr  6 00:00:00 2022,DMS,518
Mon Apr  4 00:00:00 2022,UniCenter,483
Thu Apr  7 00:00:00 2022,FSS,477
Fri Apr  8 00:00:00 2022,FSS,473
Tue Apr  5 00:00:00 2022,Fauteux,469
Fri Apr  8 00:00:00 2022,Morisset,468
Tue Apr  5 00:00:00 2022,Tabaret,462
Tue Apr  5 00:00:00 2022,SITE,450
Mon Apr  4 00:00:00 2022,Morisset,438
Fri Apr  8 00:00:00 2022,SITE,438
Wed Apr  6 00:00:00 2022,Tabaret,425
Sat Apr  9 00:00:00 2022,CRX,418
Tue Apr  5 00:00:00 2022,DMS,415
Thu Apr  7 00:00:00 2022,DMS,414
Mon Apr 11 00:00:00 2022,UniCenter,400
Mon Apr 11 00:00:00 2022,FSS,396
Sat Apr  9 00:00:00 2022,Morisset,381
Mon Apr 11 00:00:00 2022,RGN,360
Tue Apr  5 00:00:00 2022,STEM,359
Thu Apr  7 00:00:00 2022,SITE,355
Thu Apr  7 00:00:00 2022,Fauteux,353
Thu Apr  7 00:00:00 2022,STEM,348
Mon Apr  4 00:00:00 2022,RGN,347
Wed Apr  6 00:00:00 2022,STEM,340
Fri Apr  8 00:00:00 2022,Fauteux,322
Thu Apr  7 00:00:00 2022,Tabaret,320
Wed Apr  6 00:00:00 2022,Fauteux,316
Mon Apr 11 00:00:00 2022,SITE,313
Fri Apr  8 00:00:00 2022,DMS,312
Tue Apr  5 00:00:00 2022,CBY,307
Wed Apr  6 00:00:00 2022,CBY,307
Thu Apr  7 00:00:00 2022,MontPetit,306
Mon Apr  4 00:00:00 2022,SITE,301
Fri Apr  8 00:00:00 2022,STEM,296
Sat Apr  9 00:00:00 2022,UniCenter,291
Wed Apr  6 00:00:00 2022,Vanier,287
Thu Apr  7 00:00:00 2022,CBY,276
Tue Apr  5 00:00:00 2022,LMX,266
Fri Apr  8 00:00:00 2022,CBY,265
Mon Apr  4 00:00:00 2022,DMS,258
Thu Apr  7 00:00:00 2022,bioScience,253
Mon Apr 11 00:00:00 2022,Fauteux,252
Mon Apr  4 00:00:00 2022,FSS,248
Wed Apr  6 00:00:00 2022,Marion,244
Fri Apr  8 00:00:00 2022,Tabaret,242
Tue Apr  5 00:00:00 2022,Vanier,241
Wed Apr  6 00:00:00 2022,MontPetit,233
Wed Apr  6 00:00:00 2022,LMX,232
Tue Apr  5 00:00:00 2022,bioScience,231
Thu Apr  7 00:00:00 2022,Vanier,226
Sat Apr  9 00:00:00 2022,Fauteux,220
Tue Apr  5 00:00:00 2022,SPX,212
Thu Apr  7 00:00:00 2022,Marion,209
Tue Apr  5 00:00:00 2022,Diorio,208
